367_reheader,W_Ireland_367_13361
AL2022_Turkey_rmdup,D_Turkey_AL2022_1508
AL2350_Botai_rmdup,W_Kazakhstan_AL2350_5162
AL2541_rmdup_chrn,W_Belgium_AL2541_34366
AL2571_Iran_rmdup,D_Iran_AL2571_5820
AL2657_reheader,U_Russia_AL2657_17619
AL2744_reheader,W_Russia_AL2744_28511
AL2921_udgnone_libmerged_rmdup,D_Turkey_AL2921_15837
AL2946_Plocnik_rmdup,D_Serbia_AL2946_5820
AL3185_Pietrele_rmdup,W_Romania_AL3185_6434
AL3223_Weyanoke_rmdup,D_USA_AL3223_879
C26_Pad-Kalashkinova_6100BP_merged_P8902_seqprep_reheader,D_Russia_C26_7022
C27_Shamanka_6400BP_merged_P8902_seqprep_reheader,D_Russia_C27_7357
C62_Apalle_merged_P8902_seqprep_reheader,D_Sweden_C62_3105
C94_StoraForvar_J5_merged_P8902_seqprep_reheader,D_Sweden_C94_4019
CGG17.CanFam3.1Y.rmdup,W_Russia_CGG17_28766
CGG19.CanFam3.1Y.rmdup,W_Russia_CGG19_19692
CGG20.CanFam3.1Y.rmdup,W_Russia_CGG20_13688
CGG21.CanFam3.1Y.rmdup,W_Russia_CGG21_13983
CGG23.CanFam3.1Y.rmdup,W_Russia_CGG23_33291
CGG25.CanFam3.1Y.rmdup,W_Russia_CGG25_31529
CGG26.CanFam3.1Y.rmdup,W_Russia_CGG26_31490
CGG27.CanFam3.1Y.rmdup,W_Russia_CGG27_33031
CGG28.CanFam3.1Y.rmdup,W_Russia_CGG28_31815
CGG29.CanFam3.1Y.rmdup,W_Russia_CGG29_47124
CGG33.CanFam3.1Y.rmdup,W_Russia_CGG33_16907
CGG34.CanFam3.1Y.rmdup,W_Russia_CGG34_29937
CGG6.CanFam3.1Y.rmdup,D_Russia_CGG6_9513
CTC_SRR3417116_rmdup,D_Germany_CTC_13440
F3781_Siberia_LOW004_P6863_1003_L003_Undetermined_seqprep_reheader,D_Russia_F3781_75
JK2174_reheader,W_Germany_JK2174_31526
JK2175_reheader,W_Germany_JK2175_33453
JK2179_reheader,W_Germany_JK2179_13263
JK2181_reheader,W_Germany_JK2181_15453
JK2183_reheader,W_Germany_JK2183_32578
L4386.bam_MT,D_China_L4386_3826
L6013.bam_MT,D_China_L6013_1666
LOW002_reheader,W_Russia_LOW002_33100
LOW003_reheader,W_Russia_LOW003_43879
LOW006_reheader,W_Russia_LOW006_34828
LOW007_reheader,W_Russia_LOW007_29548
NGDG_fullmerge_rmdup_rmdup_realgined_6_5_15,D_Ireland_Newgrange_4767
OL4061_Veretye_rmdup,D_Russia_OL4061_10928
OL4222_Greece_rmdup,D_Greece_OL4222_6542
SC1061_rmdup,D_Peru_SC1061_769
SC19.MCJ010,W_Canada_SC19.MCJ010_30039
SC19.MCJ014,W_Canada_SC19.MCJ014_29390
SC19.MCJ015,W_Canada_SC19.MCJ015_44222
SOTN01_merged_P8903_1005_S5_L005_1006_S6_L006_seqprep_reheader,D_Croatia_SOTN01_4748
Taimyr-1_reheader,W_Russia_Taimyr-1_35313
TU839_reheader,W_France_TU839_10040
TU840_reheader,W_France_TU840_9668
V0134.merge.bam_MT,D_China_V0134_1661
V0135.merge.bam_MT,D_China_V0135_1880
V0136.bam_MT,D_China_V0136_1664
V0489.bam_MT,D_China_V0489_3879
V0492.bam_MT,D_China_V0492_8467
V0509.bam_MT,D_China_V0509_2244
V0513.bam_MT,D_China_V0513_3035
V0517.bam_MT,D_China_V0517_3417
V0521.bam_MT,D_China_V0521_3432
V0532.bam_MT,D_China_V0532_2994
V0542.bam_MT,D_China_V0542_4775
V1472.MT,D_China_V1472_8101
V1481.MT,D_China_V1481_2269
V1482.MT,D_China_V1482_2734
Yana-1_reheader,W_Russia_Yana-1_28258
SC1022_rmdup,D_Czech_AL3203_4798
IRK.canFam31,W_Ireland_IRK_13260
NMW_005,D_UK_DS-CANIS-NMW-005_1843
IN18_016,W_Russia_Wolf_head_IN18-016_32234
IN18_005,W_Russia_IN18-005_18274
VAL_008,W_Russia_WOL-VAL-08_33899
PortauChoix.CanFam3.1Y.rmdup,D_Canada_AL3194_4711